imię i nazwisko,narodowość,pozycja,data urodzenia,wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,suma
Bartosz Martosz,Polska,napastnik,11.11.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,20.0,31
Dalibor Takáč,Słowacja,pomocnik,11.10.1997,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20
Marcin Biernat,Polska,obrońca,28.05.1992,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,19.0,49
Mateusz Kizyma,Polska,pomocnik,08.07.2002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,19.0,47
Jan Majsterek,Polska,obrońca,09.06.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,19.0,47
Maciej Górski,Polska,napastnik,01.03.1990,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,19.0,33
Maksymilian Sitek,Polska,pomocnik,04.12.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,29.0,29.0,,18.0,95
Lucjan Klisiewicz,Polska,napastnik,20.04.2002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,17.0,49
Krzysztof Kolanko,Polska,pomocnik,03.08.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17
Marcin Urynowicz,Polska,napastnik,16.03.1996,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,16.0,30
Wojciech Szumilas,Polska,pomocnik,07.11.1996,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,31
Kacper Gach,Polska,obrońca,11.07.1998,27,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,19.0,13.0,18.0,,,27.0,15.0,101
Daniel Dziwniel,Polska /Niemcy,obrońca,19.08.1992,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,13.0,34
Oskar Zawada,Polska,pomocnik,17.11.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13
Kacper Piątek,Polska,pomocnik,22.10.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11
Konrad Forenc,Polska,bramkarz,17.07.1992,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,10.0,42
Unai Buján,Hiszpania,pomocnik,08.02.2001,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10
Bartosz Bieroński,Polska,pomocnik,10.05.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,9.0,16
Richard Nagy,Słowacja,obrońca,10.08.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9
Wojciech Słomka,Polska,pomocnik,04.11.1998,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9
Krystian Wieczorek,Polska,bramkarz,22.07.2002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,8.0,13
Dawid Ściuk,Polska,obrońca,30.06.2005,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,16
Michał Bednarski,Polska,pomocnik,31.01.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,4.0,31
Szymon Brańczyk,Polska,bramkarz,13.08.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4
Kornel Osyra,Polska,obrońca,07.02.1993,32,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,,,,17.0,3.0,54
Bartosz Florek,Polska,napastnik,06.08.2004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,33
Łukasz Kabaj,Polska,obrońca,13.02.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3
Piotr Szumiński,Polska,pomocnik,13.07.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
Grzegorz Janusz,Polska,napastnik,08.05.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
